sr_no,date,startup_name,industry_vertical,subvertical,city_location,investors_name,investment_type,amount_in_usd,remarks,city_clean,industry_clean,amount_clean,date_clean
2839,16/04/2015,UrbanClap,Hyperlocal Mobile Services Marketplace,Unknown,New Delhi,"SAIF Partners, Accel Partners, Kunal Bahl, Rohit Bansal",Seed Funding,"16,00,000",,New Delhi,Hyperlocal Mobile Services Marketplace,1600000,4/16/2015
2840,16/04/2015,Taskbob,OnDemand\\nMobile Handyman Services,Unknown,Mumbai,"Orios Venture Partners, Mayfield India",Seed Funding,"12,00,000",,Mumbai,OnDemand\\nMobile Handyman Services,1200000,4/16/2015
2841,17/04/2015,Robosoft,Mobile App Development,Unknown,Udupi,"Ascent Capital, Kalaari Capital",Private Equity,"1,20,00,000",Series B,Udupi,Mobile App Development,12000000,4/17/2015
2842,18/04/2015,Doormint,On-Demand Handyman Services,Unknown,Mumbai,Powai Lake Ventures,Seed Funding,,,Mumbai,On-Demand Handyman Services,,4/18/2015
2843,20/04/2015,Vyomo,Beauty & Wellness Mobile App,Unknown,Gurugram,YouWeCan Ventures,Seed Funding,,,Gurugram,Beauty & Wellness Mobile App,,4/20/2015
2844,20/04/2015,Pastiwala,Material Collection & Recycling,Unknown,Vadodara,Agnus Capital,Private Equity,"40,00,000",Series A,Vadodara,Material Collection & Recycling,4000000,4/20/2015
2845,20/04/2015,1mg (Healthkartplus),Online Pharmacy & Drug DB,Unknown,Gurugram,"Deep Kalra, Sequoia Capital, Omidyar Network, Intel Capital & Kae Capital",Private Equity,"60,00,000",Series A,Gurugram,Online Pharmacy & Drug DB,6000000,4/20/2015
2846,20/04/2015,Freshdesk,Online / Mobile Customer Support,Unknown,Chennai,"Tiger Global, Google Capital & Accel Partners",Private Equity,"5,00,00,000",Series E,Chennai,Online / Mobile Customer Support,50000000,4/20/2015
2847,20/04/2015,Sulekha.com,Online Classifieds & Listings,Unknown,Chennai,GIC ventures,Private Equity,"2,80,00,000",Series C,Chennai,Online Classifieds & Listings,28000000,4/20/2015
2848,22/04/2015,FindYahan,Hyperlocal services marketplace,Unknown,New Delhi,The Phoenix Fund,Private Equity,,Series A,New Delhi,Hyperlocal services marketplace,,4/22/2015
2849,22/04/2015,Eat.Shop.Love,Fashion ECommerce,Unknown,Bengaluru,Undisclosed Investor,Private Equity,"35,00,000",Series A,Bengaluru,Fashion ECommerce,3500000,4/22/2015
2850,22/04/2015,Avanti Learning,Private Coaching Centers,Unknown,New Delhi,"Michael & Susan Dell Foundation, Pearson Learning Fund",Private Equity,"15,00,000",Series A,New Delhi,Private Coaching Centers,1500000,4/22/2015
2851,23/04/2015,Simplilearn,Online Certification Courses,Unknown,Bengaluru,"Mayfield Ventures, Kalaari Capital, Helion Ventures",Private Equity,"1,50,00,000",Series C,Bengaluru,Online Certification Courses,15000000,4/23/2015
