"sr_no","date_clean","startup_name","industry_clean","subvertical","city_clean","investors_name","investment_type","amount_clean"
"1976","2/19/2016","Jaypore","E-Commerce","Ethnic Products marketplace","New Delhi","Aavishkaar","Private Equity","5000000.0"
"1977","2/19/2016","Finance Buddha","Consumer Internet","Online Loan Comparison & Discovery platform","Bengaluru","Chennai Angels","Seed Funding",""
"1978","2/19/2016","AlmaConnect","Consumer Internet","Alumni social network","New Delhi","Mohandas Pai, Varun Aggarwal","Seed Funding",""
"1979","2/19/2016","Advantage Club","Consumer Internet","mobile platform for corporate employee benefits","Gurugram","Purvi Ventures & Others","Seed Funding","400000.0"
"1980","2/19/2016","LocalRamu","Consumer Internet","mobile based aggregator for local service providers","Bengaluru","3 undisclosed investors","Seed Funding",""
"1981","2/22/2016","Baby Berry","Consumer Internet","Parenting Mobile app","Bengaluru","Nitin Bagmane & Other undisclosed investors","Seed Funding","1000000.0"
"1982","2/22/2016","Magicpin","Consumer Internet","Hyperlocal Discover Mobile App","New Delhi","Lightspeed India","Private Equity","3000000.0"
"1983","2/22/2016","First Eat","Consumer Internet","Healthy Food Delivery platform","New Delhi","Undisclosed investor","Seed Funding","100000.0"
"1984","2/22/2016","SigTuple","Technology","Healthcare based Tech Solutions","Bengaluru","Sachin Bansal, Binny Bansal, Accel Partners & Others","Seed Funding",""
"1985","2/22/2016","Taskbob","Consumer Internet","Hyperlocal Handyman services platform","Mumbai","IvyCap Ventures, Orios Venture Partners, Mayfield India","Private Equity","4500000.0"
"1986","2/22/2016","Styledotme","Consumer Internet","Mobile Fashion App","New Delhi","Indian Angel Network","Seed Funding","37000.0"
"1987","2/22/2016","NewsLaundry","Consumer Internet","Independent News Media Portal","New Delhi","Omidyar Network,\\xc2\\xa0 Vikram Lal, Abhijit Bhandari, Mahesh Murthy, Shashank Bhagat","Private Equity",""
